name;name_nl;
Australia and New Zealand;Australie en Nieuw Zeeland;OC
Central Asia;Centraal Azie;AS
Eastern Asia;Oost Azie;AS
Eastern Europe;Oost Europa;EU
Latin America and the Caribbean;Latijns Amerika en Caribisch gebied;SA
Melanesia;Melanesie;OC
Micronesia;Micronesie;OC
Northern Africa;Noord Afrika;AF
Northern America;Noord Amerika;NA
Northern Europe;Noord Europa;EU
Polynesia;Polynesie;OC
South-eastern Asia;Zuid-Oost Azie;AS
Southern Asia;Zuid Azie;AS
Southern Europe;Zzuid Europa;EU
Sub-Saharan Africa;Sub-Sahara;AF
Western Asia;West Azie;AS
Western Europe;West Europa;EU